Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m),PAR (mol/m/s),max. PAR (mol/m/s),Tlog (degC),CO2 (ppm)
2024-04-20 05:00:00,983.4066666666666,3.9416666666666664,278.4216666666667,3.6783333333333332,98.14999999999999,8.105,7.955000000000001,0.15166666666666664,5.048333333333333,8.09,1232.5583333333332,1.8683333333333332,4.235,279.90000000000003,0.08333333333333333,238.33333333333334,2.796666666666667,6.585000000000001,10.915,12.628333333333332,432.8833333333334
2024-04-20 06:00:00,984.8449999999999,4.078333333333333,278.44166666666666,3.348333333333333,94.98333333333333,8.18,7.773333333333333,0.4116666666666667,4.923333333333333,7.89,1233.855,1.695,4.315,237.48333333333335,0.0,0.0,35.225,70.84833333333334,92.77666666666669,12.82,430.68333333333334
2024-04-20 07:00:00,986.21,3.9949999999999997,278.24833333333333,3.2583333333333333,94.91666666666667,8.133333333333333,7.72,0.41333333333333333,4.885,7.831666666666667,1235.9566666666667,1.7733333333333334,3.9683333333333333,257.3,0.0,140.0,90.50666666666666,183.19833333333335,247.025,13.361666666666666,428.8833333333334
2024-04-20 08:00:00,987.3416666666667,4.538333333333333,278.7,3.09,90.33333333333333,8.453333333333333,7.628333333333333,0.8266666666666667,4.818333333333333,7.7250000000000005,1235.0133333333333,1.67,3.78,230.4,0.0,0.0,227.08166666666668,444.68666666666667,671.2216666666667,13.969999999999999,426.7833333333333
2024-04-20 09:00:00,988.3383333333333,5.963333333333334,280.055,2.5166666666666666,78.645,9.34,7.326666666666667,2.015,4.621666666666667,7.411666666666666,1230.09,2.2883333333333336,4.948333333333333,77.15333333333332,0.0,0.0,541.3483333333334,1009.2800000000001,1483.3316666666667,15.703333333333333,425.8833333333334
2024-04-20 10:00:00,989.2383333333333,6.506666666666667,280.5216666666667,1.3983333333333334,69.77,9.691666666666666,6.758333333333333,2.9333333333333336,4.26,6.833333333333333,1229.09,2.248333333333333,5.1000000000000005,106.78500000000001,0.016666666666666666,53.333333333333336,410.83666666666664,805.3616666666667,1270.9733333333334,17.596666666666668,424.2833333333333
2024-04-20 11:00:00,989.915,5.781666666666666,279.74,1.3866666666666667,73.67,9.241666666666667,6.755,2.485,4.256666666666667,6.825,1233.1483333333333,3.9933333333333336,6.836666666666666,27.743333333333336,0.05000000000000001,188.33333333333334,361.6383333333333,694.7916666666666,1194.91,17.781666666666666,424.06666666666666
2024-04-20 12:00:00,990.7166666666667,4.116666666666666,278.00666666666666,2.69,90.5,8.213333333333333,7.419999999999999,0.795,4.671666666666667,7.491666666666667,1241.2316666666668,2.2866666666666666,4.536666666666666,81.72,0.19999999999999998,195.0,468.3733333333334,901.5916666666667,1434.1899999999998,15.583333333333334,424.6333333333334
2024-04-20 13:00:00,990.965,5.82,279.695,2.7383333333333333,80.57666666666667,9.245,7.445,1.8,4.6866666666666665,7.511666666666667,1233.9416666666666,3.345,5.88,67.30999999999999,0.0,43.333333333333336,616.3866666666667,1187.575,1913.7516666666668,16.566666666666666,423.7
2024-04-20 14:00:00,991.4683333333334,5.455000000000001,279.29,2.785,82.94833333333334,9.018333333333333,7.466666666666666,1.55,4.698333333333333,7.53,1236.18,1.6483333333333334,3.0500000000000003,259.65000000000003,0.0,45.0,278.3533333333333,545.8249999999999,862.8466666666667,16.973333333333333,423.55
2024-04-20 15:00:00,991.4883333333333,6.326666666666667,280.1616666666667,2.035,74.10000000000001,9.584999999999999,7.076666666666667,2.5083333333333333,4.451666666666667,7.135000000000001,1232.535,2.9066666666666667,5.165,115.90166666666666,0.016666666666666666,191.66666666666666,283.15833333333336,558.8316666666666,733.1700000000001,17.826666666666668,423.2
2024-04-20 16:00:00,991.8516666666666,4.506666666666667,278.3066666666667,2.7616666666666667,88.39999999999999,8.435,7.451666666666667,0.9783333333333334,4.6866666666666665,7.513333333333333,1240.8883333333333,3.4,5.449999999999999,43.48833333333334,0.0,13.333333333333334,184.46833333333333,367.395,403.99666666666667,15.94,424.5833333333333
